Name,Rk,Uni,Birth,Unnamed: 4,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr,Name-additional
Liam Hendriks,1,31.0,au AU,Pitcher,*,NULL,35,R,R,"6' 0""",235,Feb 10 1989,2007,hendrli01
Luis Guerrero,2,99.0,do DO,Pitcher,*,NULL,23,R,R,"6' 0""",215,Aug 5 2000,2020,guerrlu01
Luis Perales,3,93.0,ve VE,Pitcher,*,NULL,21,R,R,"6' 1""",160,Apr 14 2003,2021,redirect.fcgi?player=1&mlb_ID=691384
Hunter Dobbins,4,NULL,us US,Pitcher,*,NULL,24,R,R,"6' 2""",185,Aug 30 1999,2019,redirect.fcgi?player=1&mlb_ID=690928
Richard Fitts,5,80.0,us US,Pitcher,*,NULL,24,R,R,"6' 3""",230,Dec 17 1999,2019,fittsri01
Justin Slaten,6,63.0,us US,Pitcher,*,NULL,26,R,R,"6' 4""",222,Sep 15 1997,2017,slateju01
Zach Penrod,7,67.0,us US,Pitcher,*,NULL,27,L,L,"6' 2""",210,Jun 16 1997,2017,penroza01
Quinn Priester,8,68.0,us US,Pitcher,*,NULL,23,R,R,"6' 3""",210,Sep 16 2000,2019,priesqu01
Cooper Criswell,9,64.0,us US,Pitcher,*,NULL,27,R,R,"6' 6""",200,Jul 24 1996,2018,criswco01
Brayan Bello,10,66.0,do DO,Pitcher,*,NULL,25,R,R,"6' 1""",195,May 17 1999,2018,bellobr01
Zack Kelly,11,76.0,us US,Pitcher,*,NULL,29,R,R,"6' 3""",231,Mar 3 1995,2017,kellyza01
Garrett Crochet,12,35.0,us US,Pitcher,*,NULL,25,L,L,"6' 6""",245,Jun 21 1999,2018,crochga01
Kutter Crawford,13,50.0,us US,Pitcher,*,NULL,28,R,R,"6' 1""",195,Apr 1 1996,2017,crawfku01
Garrett Whitlock,14,22.0,us US,Pitcher,*,NULL,28,R,R,"6' 5""",222,Jun 11 1996,2016,whitlga01
Josh Winckowski,15,25.0,us US,Pitcher,*,NULL,26,R,R,"6' 4""",215,Jun 28 1998,2016,winckjo01
Greg Weissert,16,57.0,us US,Pitcher,*,NULL,29,R,R,"6' 2""",235,Feb 4 1995,2014,weissgr01
Chris Murphy,17,72.0,us US,Pitcher,*,NULL,26,L,L,"6' 1""",186,Jun 5 1998,2016,murphch01
Justin Wilson,18,32.0,us US,Pitcher,*,NULL,36,L,L,"6' 2""",205,Aug 18 1987,2009,wilsoju10
Aroldis Chapman,19,44.0,cu CU,Pitcher,*,NULL,36,L,L,"6' 4""",235,Feb 28 1988,2005,chapmar01
Patrick Sandoval,20,43.0,us US,Pitcher,*,NULL,27,L,L,"6' 3""",190,Oct 18 1996,2015,sandopa02
Brennan Bernardino,21,83.0,us US,Pitcher,*,NULL,32,L,L,"6' 4""",180,Jan 15 1992,2014,bernabr01
Lucas Giolito,22,54.0,us US,Pitcher,*,NULL,29,R,R,"6' 6""",245,Jul 14 1994,2012,giolilu01
Tanner Houck,23,89.0,us US,Pitcher,*,NULL,28,R,R,"6' 5""",226,Jun 29 1996,2015,houckta01
Walker Buehler,24,NULL,us US,Pitcher,*,NULL,29,R,R,"6' 2""",185,Jul 28 1994,2013,buehlwa01
Masataka Yoshida,25,7.0,jp JP,Position,*,NULL,30,L,R,"5' 8""",192,Jul 15 1993,2016,yoshima02
Jhostynxon Garcia,26,NULL,ve VE,Position,*,NULL,21,R,R,"6' 0""",163,Dec 11 2002,2021,redirect.fcgi?player=1&mlb_ID=691373
Trevor Story,27,10.0,us US,Position,*,NULL,31,R,R,"6' 2""",209,Nov 15 1992,2011,storytr01
Vaughn Grissom,28,5.0,us US,Position,*,NULL,23,R,R,"6' 2""",210,Jan 5 2001,2019,grissva01
