Rk,Uni,Name,Birth,,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr,Name-additional
1,45,Tommy Nance,us US,Pitcher,*,,33,R,R,"6' 6""",235,Mar 19 1991,2012,nanceto01
2,39,Jake Bloss,us US,Pitcher,*,,23,R,R,"6' 3""",223,Jun 23 2001,2020,blossja01
3,62,Easton Lucas,us US,Pitcher,*,,27,L,L,"6' 4""",180,Sep 23 1996,2015,lucasea01
4,33,Nick Robertson,us US,Pitcher,*,,25,R,R,"6' 6""",235,Jul 16 1998,2018,roberni01
5,29,Yariel Rodríguez,cu CU,Pitcher,*,,27,R,R,"6' 0""",165,Mar 10 1997,2015,rodriya01
6,,Angel Bastardo,ve VE,Pitcher,*,,22,R,R,"6' 1""",175,Jun 18 2002,2019,redirect.fcgi?player=1&mlb_ID=682785
7,52,Nick Sandlin,us US,Pitcher,*,,27,R,R,"5' 11""",175,Jan 10 1997,2016,sandlni01
8,21,Josh Walker,us US,Pitcher,*,,29,L,L,"6' 6""",225,Dec 1 1994,2014,walkejo03
9,64,Adam Macko,sk SK,Pitcher,*,,23,L,L,"6' 0""",170,Dec 30 2000,2019,redirect.fcgi?player=1&mlb_ID=671936
10,44,Bowden Francis,us US,Pitcher,*,,28,R,R,"6' 5""",220,Apr 22 1996,2017,francbo01
11,,Max Scherzer,us US,Pitcher,*,,39,R,R,"6' 3""",208,Jul 27 1984,2007,scherma01
12,6,Alek Manoah,us US,Pitcher,*,,26,R,R,"6' 6""",285,Jan 9 1998,2017,manoaal01
13,54,Brendon Little,us US,Pitcher,*,,27,L,L,"6' 2""",195,Aug 11 1996,2016,littlbr02
14,50,Erik Swanson,us US,Pitcher,*,,30,R,R,"6' 3""",225,Sep 4 1993,2013,swanser01
15,,Yimi García,do DO,Pitcher,*,,33,R,R,"6' 1""",230,Aug 18 1990,2009,garciyi01
16,23,Jeff Hoffman,us US,Pitcher,*,,31,R,R,"6' 5""",235,Jan 8 1993,2012,hoffmje02
17,56,Zach Pop,ca CA,Pitcher,*,,27,R,R,"6' 4""",220,Sep 20 1996,2015,popza01
18,57,Chad Green,us US,Pitcher,*,,33,L,R,"6' 3""",215,May 24 1991,2011,greench03
19,34,Kevin Gausman,us US,Pitcher,*,,33,L,R,"6' 2""",205,Jan 6 1991,2011,gausmke01
20,40,Chris Bassitt,us US,Pitcher,*,,35,R,R,"6' 5""",217,Feb 22 1989,2011,bassich01
21,43,Ryan Burr,us US,Pitcher,*,,30,R,R,"6' 4""",220,May 28 1994,2013,burrry01
22,17,José Berríos,pr PR,Pitcher,*,,30,R,R,"6' 0""",205,May 27 1994,2012,berrijo01
23,4,George Springer,us US,Position,*,,34,R,R,"6' 3""",220,Sep 19 1989,2010,springe01
24,5,Daulton Varsho,us US,Position,*,,27,L,R,"5' 8""",207,Jul 2 1996,2015,varshda01
25,7,Will Wagner,us US,Position,*,,25,L,R,"5' 11""",210,Jul 29 1998,2018,wagnewi01
26,10,Joey Loperfido,us US,Position,*,,25,L,R,"6' 3""",220,May 11 1999,2018,loperjo01
27,8,Jonatan Clase,do DO,Position,*,,22,S,R,"5' 10""",150,May 23 2002,2019,clasejo01
28,13,Orelvis Martinez,do DO,Position,*,,22,R,R,"5' 11""",200,Nov 19 2001,2019,martior01
29,47,Addison Barger,us US,Position,*,,24,L,R,"5' 11""",210,Nov 12 1999,2018,bargead01
30,49,Leo Jimenez,pa PA,Position,*,,23,R,R,"5' 10""",215,May 17 2001,2018,jimenle01
31,55,Tyler Heineman,us US,Position,*,,33,S,R,"5' 10""",190,Jun 19 1991,2011,heinety01
32,36,Davis Schneider,us US,Position,*,,25,R,R,"5' 9""",190,Jan 26 1999,2017,schneda03
33,22,Ernie Clement,us US,Position,*,,28,R,R,"6' 0""",170,Mar 22 1996,2015,clemeer01
34,37,Steward Berroa,do DO,Position,*,,25,S,R,"5' 9""",178,Jun 5 1999,2017,berrost01
35,30,Alejandro Kirk,mx MX,Position,*,,25,R,R,"5' 8""",245,Nov 6 1998,2017,kirkal01
36,25,Anthony Santander,ve VE,Position,*,,29,S,R,"6' 2""",230,Oct 19 1994,2012,santaan02
37,11,Bo Bichette,us US,Position,*,,26,R,R,"6' 0""",190,Mar 5 1998,2016,bichebo01
38,,Andrés Giménez,ve VE,Position,*,,25,L,R,"5' 11""",161,Sep 4 1998,2016,gimenan01
39,27,Vladimir Guerrero Jr.,ca CA,Position,*,,25,R,R,"6' 2""",245,Mar 16 1999,2016,guerrvl02
40,38,Nathan Lukes,us US,Position,*,,29,L,R,"5' 11""",180,Jul 12 1994,2013,lukesna01
