Rk,Uni,Name,Birth,,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr,Name-additional
1,,Brandon Young,us US,Pitcher,*,,25,R,R,"6' 6""",210,Aug 19 1998,2019,redirect.fcgi?player=1&mlb_ID=687064
2,58,Cionel Pérez,cu CU,Pitcher,*,,28,R,L,"6' 0""",175,Apr 21 1996,2013,perezci01
3,,Kade Strowd,us US,Pitcher,*,,26,R,R,"6' 2""",200,Sep 17 1997,2017,redirect.fcgi?player=1&mlb_ID=669704
4,28,Trevor Rogers,us US,Pitcher,*,,26,L,L,"6' 5""",217,Nov 13 1997,2018,rogertr01
5,68,Tyler Wells,us US,Pitcher,*,,29,R,R,"6' 8""",260,Aug 26 1994,2014,wellsty01
6,45,Keegan Akin,us US,Pitcher,*,,29,L,L,"6' 0""",240,Apr 1 1995,2014,akinke01
7,78,Yennier Cano,cu CU,Pitcher,*,,30,R,R,"6' 4""",245,Mar 9 1994,2013,canoye01
8,30,Grayson Rodriguez,us US,Pitcher,*,,24,L,R,"6' 5""",230,Nov 16 1999,2018,rodrigr01
9,64,Dean Kremer,us US,Pitcher,*,,28,R,R,"6' 2""",210,Jan 7 1996,2016,kremede01
10,38,Kyle Bradish,us US,Pitcher,*,,27,R,R,"6' 3""",215,Sep 12 1996,2016,bradiky01
11,60,Colin Selby,us US,Pitcher,*,,26,R,R,"6' 2""",220,Oct 24 1997,2016,selbyco01
12,74,Félix Bautista,do DO,Pitcher,*,,29,R,R,"6' 8""",285,Jun 20 1995,2013,bautife01
13,65,Gregory Soto,do DO,Pitcher,*,,29,L,L,"6' 1""",234,Feb 11 1995,2013,sotogr01
14,43,Bryan Baker,us US,Pitcher,*,,29,R,R,"6' 6""",235,Dec 2 1994,2014,bakerbr01
15,60,Chayce McDermott,us US,Pitcher,*,,25,L,R,"6' 3""",197,Aug 22 1998,2019,mcderch01
16,56,Seranthony Domínguez,do DO,Pitcher,*,,29,R,R,"6' 1""",225,Nov 25 1994,2012,dominse01
17,24,Zach Eflin,us US,Pitcher,*,,30,R,R,"6' 6""",220,Apr 8 1994,2012,eflinza01
18,,Tomoyuki Sugano,jp JP,Pitcher,*,,34,R,R,"6' 1""",198,Oct 11 1989,2013,redirect.fcgi?player=1&mlb_ID=608372
19,37,Cade Povich,us US,Pitcher,*,,24,L,L,"6' 3""",185,Apr 12 2000,2020,povicca01
20,,Charlie Morton,us US,Pitcher,*,,40,R,R,"6' 5""",215,Nov 12 1983,2002,mortoch02
21,,Luis Gonzalez,do DO,Pitcher,*,,32,L,L,"6' 2""",170,Jan 17 1992,2010,redirect.fcgi?player=1&mlb_ID=593574
22,,Andrew Kittredge,us US,Pitcher,*,,34,R,R,"6' 1""",230,Mar 17 1990,2010,kittran01
23,49,Albert Suárez,ve VE,Pitcher,*,,34,R,R,"6' 3""",235,Oct 8 1989,2008,suareal01
24,16,Coby Mayo,us US,Position,*,,22,R,R,"6' 5""",230,Dec 10 2001,2021,mayoco01
25,7,Jackson Holliday,us US,Position,*,,20,L,R,"6' 0""",185,Dec 4 2003,2022,hollija01
26,2,Gunnar Henderson,us US,Position,*,,23,L,R,"6' 3""",220,Jun 29 2001,2019,hendegu01
27,17,Colton Cowser,us US,Position,*,,24,L,R,"6' 2""",220,Mar 20 2000,2019,cowseco01
28,13,Heston Kjerstad,us US,Position,*,,25,L,R,"6' 3""",205,Feb 12 1999,2018,kjershe01
29,11,Jordan Westburg,us US,Position,*,,25,R,R,"6' 2""",210,Feb 18 1999,2017,westbjo01
30,35,Adley Rutschman,us US,Position,*,,26,S,R,"6' 2""",230,Feb 6 1998,2016,rutscad01
31,,Dylan Carlson,us US,Position,*,,25,S,L,"6' 2""",200,Oct 23 1998,2016,carlsdy01
32,,Daz Cameron,us US,Position,*,,27,R,R,"6' 0""",185,Jan 15 1997,2015,camerda01
33,6,Ryan Mountcastle,us US,Position,*,,27,R,R,"6' 4""",220,Feb 18 1997,2015,mountry01
34,,Ramón Laureano,do DO,Position,*,,29,R,R,"5' 11""",203,Jul 15 1994,2014,laurera01
35,32,Ryan O'Hearn,us US,Position,*,,30,L,L,"6' 3""",220,Jul 26 1993,2012,ohearry01
36,31,Cedric Mullins,us US,Position,*,,29,L,L,"5' 9""",175,Oct 1 1994,2015,mullice01
37,,Tyler O'Neill,ca CA,Position,*,,29,R,R,"5' 11""",200,Jun 22 1995,2013,oneilty01
38,3,Jorge Mateo,do DO,Position,*,,29,R,R,"6' 1""",200,Jun 23 1995,2012,mateojo01
39,29,Ramón Urías,mx MX,Position,*,,30,R,R,"5' 10""",185,Jun 3 1994,2011,uriasra01
40,,Gary Sánchez,do DO,Position,*,,31,R,R,"6' 2""",258,Dec 2 1992,2010,sanchga02
