Rk,Uni,Name,Birth,,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr,Name-additional
1,57,Scott Effross,us US,Pitcher,*,,30,R,R,"6' 2""",202,Dec 28 1993,2013,effrosc01
2,98,Will Warren,us US,Pitcher,*,,25,R,R,"6' 2""",175,Jun 16 1999,2018,warrewi01
3,85,Clayton Beeter,us US,Pitcher,*,,25,R,R,"6' 2""",220,Oct 9 1998,2019,beetecl01
4,83,Michael Arias,do DO,Pitcher,*,,22,R,R,"6' 0""",155,Nov 15 2001,2021,redirect.fcgi?player=1&mlb_ID=683522
5,92,Yoendrys Gómez,ve VE,Pitcher,*,,24,R,R,"6' 3""",212,Oct 15 1999,2017,gomezyo01
6,58,Roansy Contreras,do DO,Pitcher,*,,24,R,R,"6' 1""",205,Nov 7 1999,2017,contrro01
7,,Owen White,us US,Pitcher,*,,24,R,R,"6' 3""",199,Aug 9 1999,2021,whiteow01
8,61,Jake Cousins,us US,Pitcher,*,,29,R,R,"6' 4""",195,Jul 14 1994,2014,cousija01
9,34,JT Brubaker,us US,Pitcher,*,,30,R,R,"6' 3""",180,Nov 17 1993,2013,brubajt01
10,81,Luis Gil,do DO,Pitcher,*,,26,R,R,"6' 2""",185,Jun 3 1998,2015,gillu01
11,73,Yerry De Los Santos,do DO,Pitcher,*,,26,R,R,"6' 2""",210,Dec 12 1997,2015,delosye01
12,36,Clarke Schmidt,us US,Pitcher,*,,28,R,R,"6' 1""",200,Feb 20 1996,2015,schmicl01
13,56,Mark Leiter Jr.,us US,Pitcher,*,,33,R,R,"6' 0""",210,Mar 13 1991,2011,leitema02
14,43,Jonathan Loáisiga,ni NI,Pitcher,*,,29,R,R,"5' 11""",165,Nov 2 1994,2013,loaisjo01
15,71,Ian Hamilton,us US,Pitcher,*,,29,R,R,"6' 1""",200,Jun 16 1995,2014,hamilia01
16,63,Fernando Cruz,pr PR,Pitcher,*,,34,S,R,"6' 2""",237,Mar 28 1990,2007,cruzfe01
17,45,Gerrit Cole,us US,Pitcher,*,,33,R,R,"6' 4""",220,Sep 8 1990,2011,colege01
18,,Marcus Stroman,us US,Pitcher,*,,33,R,R,"5' 7""",180,May 1 1991,2010,stromma01
19,30,Luke Weaver,us US,Pitcher,*,,30,R,R,"6' 2""",183,Aug 21 1993,2012,weavelu01
20,55,Carlos Rodón,us US,Pitcher,*,,31,L,L,"6' 2""",255,Dec 10 1992,2012,rodonca01
21,38,Devin Williams,us US,Pitcher,*,,29,R,R,"6' 2""",193,Sep 21 1994,2013,willide03
22,54,Max Fried,us US,Pitcher,*,,30,L,L,"6' 4""",190,Jan 18 1994,2012,friedma01
23,79,J.C. Escarra,us US,Position,*,,29,L,R,"6' 2""",220,Apr 24 1995,2014,redirect.fcgi?player=1&mlb_ID=641555
24,93,Ben Rice,us US,Position,*,,25,L,R,"6' 1""",215,Feb 22 1999,2019,ricebe01
25,24,Jasson Domínguez,do DO,Position,*,,21,S,R,"5' 9""",190,Feb 7 2003,2021,dominja01
26,26,DJ LeMahieu,us US,Position,*,,35,R,R,"6' 4""",220,Jul 13 1988,2009,lemahdj01
27,97,Jesus Rodriguez,ve VE,Position,*,,22,R,R,"5' 10""",182,Apr 23 2002,2019,redirect.fcgi?player=1&mlb_ID=683679
28,27,Giancarlo Stanton,us US,Position,*,,34,R,R,"6' 6""",245,Nov 8 1989,2007,stantmi03
29,11,Anthony Volpe,us US,Position,*,,23,R,R,"5' 9""",180,Apr 28 2001,2019,volpean01
30,90,Jorbit Vivas,ve VE,Position,*,,23,L,R,"5' 9""",171,Mar 9 2001,2018,redirect.fcgi?player=1&mlb_ID=678391
31,80,Everson Pereira,ve VE,Position,*,,23,R,R,"5' 11""",191,Apr 10 2001,2018,pereiev01
32,48,Paul Goldschmidt,us US,Position,*,,36,R,R,"6' 3""",225,Sep 10 1987,2009,goldspa01
33,91,Oswald Peraza,ve VE,Position,*,,24,R,R,"5' 11""",200,Jun 15 2000,2017,perazos02
34,35,Cody Bellinger,us US,Position,*,,28,L,L,"6' 4""",203,Jul 13 1995,2013,bellico01
35,,Braden Shewmake,us US,Position,*,,26,L,R,"6' 3""",200,Nov 19 1997,2017,shewmbr01
36,99,Aaron Judge,us US,Position,*,,32,R,R,"6' 7""",282,Apr 26 1992,2011,judgeaa01
37,28,Austin Wells,us US,Position,*,,24,L,R,"6' 2""",220,Jul 12 1999,2019,wellsau01
38,13,Jazz Chisholm Jr.,bs BS,Position,*,,26,L,R,"5' 11""",184,Feb 1 1998,2016,chishja01
39,95,Oswaldo Cabrera,ve VE,Position,*,,25,S,R,"5' 11""",200,Mar 1 1999,2016,cabreos01
40,12,Trent Grisham,us US,Position,*,,27,L,L,"5' 11""",224,Nov 1 1996,2015,grishtr01
