Rk,Uni,Name,Birth,Unnamed: 4,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr,Name-additional,Age-Opening-Day-2025
1,31.0,Liam Hendriks,au AU,Pitcher,*,NULL,35,R,R,"6' 0""",235,1989-02-10,2007,hendrli01,36.14794520547945
2,99.0,Luis Guerrero,do DO,Pitcher,*,NULL,23,R,R,"6' 0""",215,2000-08-05,2020,guerrlu01,24.65753424657534
3,93.0,Luis Perales,ve VE,Pitcher,*,NULL,21,R,R,"6' 1""",160,2003-04-14,2021,redirect.fcgi?player=1&mlb_ID=691384,21.96712328767123
4,NULL,Hunter Dobbins,us US,Pitcher,*,NULL,24,R,R,"6' 2""",185,1999-08-30,2019,redirect.fcgi?player=1&mlb_ID=690928,25.59178082191781
5,80.0,Richard Fitts,us US,Pitcher,*,NULL,24,R,R,"6' 3""",230,1999-12-17,2019,fittsri01,25.293150684931508
6,63.0,Justin Slaten,us US,Pitcher,*,NULL,26,R,R,"6' 4""",222,1997-09-15,2017,slateju01,27.54794520547945
7,67.0,Zach Penrod,us US,Pitcher,*,NULL,27,L,L,"6' 2""",210,1997-06-16,2017,penroza01,27.797260273972604
8,68.0,Quinn Priester,us US,Pitcher,*,NULL,23,R,R,"6' 3""",210,2000-09-16,2019,priesqu01,24.542465753424658
9,64.0,Cooper Criswell,us US,Pitcher,*,NULL,27,R,R,"6' 6""",200,1996-07-24,2018,criswco01,28.693150684931506
10,66.0,Brayan Bello,do DO,Pitcher,*,NULL,25,R,R,"6' 1""",195,1999-05-17,2018,bellobr01,25.87945205479452
11,76.0,Zack Kelly,us US,Pitcher,*,NULL,29,R,R,"6' 3""",231,1995-03-03,2017,kellyza01,30.087671232876712
12,35.0,Garrett Crochet,us US,Pitcher,*,NULL,25,L,L,"6' 6""",245,1999-06-21,2018,crochga01,25.783561643835615
13,50.0,Kutter Crawford,us US,Pitcher,*,NULL,28,R,R,"6' 1""",195,1996-04-01,2017,crawfku01,29.005479452054793
14,22.0,Garrett Whitlock,us US,Pitcher,*,NULL,28,R,R,"6' 5""",222,1996-06-11,2016,whitlga01,28.81095890410959
15,25.0,Josh Winckowski,us US,Pitcher,*,NULL,26,R,R,"6' 4""",215,1998-06-28,2016,winckjo01,26.764383561643836
16,57.0,Greg Weissert,us US,Pitcher,*,NULL,29,R,R,"6' 2""",235,1995-02-04,2014,weissgr01,30.161643835616438
17,72.0,Chris Murphy,us US,Pitcher,*,NULL,26,L,L,"6' 1""",186,1998-06-05,2016,murphch01,26.827397260273973
