Rk,Player,Age,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Connor Wong,28,1.6,126,487,447,54,125,24,1,13,52,8,7,28,114,0.28,0.333,0.425,0.758,110,0.327,107,190,7,9,1,2,1,23DH/47,,wongco01
2,Dominic Smith*,29,0,84,278,249,29,59,20,0,6,34,1,1,25,65,0.237,0.317,0.39,0.706,96,0.314,96,97,7,4,0,0,0,3H/D1,,smithdo02
3,Enmanuel Valdéz*,25,-0.6,76,223,201,23,43,12,0,6,28,1,1,17,53,0.214,0.27,0.363,0.633,74,0.277,70,73,4,0,1,4,0,4H/D57,,valdeen01
4,Ceddanne Rafaela,23,2.8,152,571,544,70,134,23,5,15,75,19,10,15,151,0.246,0.274,0.39,0.664,82,0.299,85,212,8,7,2,3,1,864/5H9,,rafaece01
5,Rafael Devers*,27,3.7,138,601,525,87,143,34,5,28,83,3,0,67,147,0.272,0.354,0.516,0.871,139,0.368,134,271,13,3,0,6,14,*5/D,ASMVP-13,deverra01
6,Tyler O'Neill,29,2.6,113,473,411,74,99,18,0,31,61,4,0,53,159,0.241,0.336,0.511,0.847,132,0.365,131,210,13,7,0,2,5,79D/H,,oneilty01
7,Jarren Duran*,27,8.7,160,735,671,111,191,48,14,21,75,34,7,54,160,0.285,0.342,0.492,0.834,129,0.373,134,330,6,6,1,3,1,*87,ASMVP-8,duranja01
8,Wilyer Abreu*,25,3.4,132,447,399,59,101,33,2,15,58,8,3,40,125,0.253,0.322,0.459,0.781,114,0.339,112,183,7,3,0,5,0,*9H/78D,ROY-6GG,abreuwi02
9,Masataka Yoshida*,30,1.4,108,421,378,45,106,21,0,10,56,2,0,27,52,0.28,0.349,0.415,0.765,112,0.341,114,157,6,14,0,2,0,DH/7,,yoshima02
10,David Hamilton*,26,2.6,98,317,294,47,73,17,1,8,28,33,4,22,80,0.248,0.303,0.395,0.697,92,0.331,95,116,1,1,0,0,0,64H,,hamilda03
11,Rob Refsnyder,33,0.8,93,307,272,32,77,16,1,11,40,2,2,28,78,0.283,0.359,0.471,0.83,129,0.354,126,128,6,5,0,1,2,79HD,,refsnro01
12,Triston Casas*,24,0.6,63,243,212,28,51,8,0,13,32,0,1,30,77,0.241,0.337,0.462,0.8,120,0.34,116,98,6,1,0,0,4,3/HD,,casastr01
13,Romy González,27,0.9,89,216,199,25,53,10,1,6,29,11,3,12,58,0.266,0.306,0.417,0.723,99,0.326,100,83,5,1,0,4,0,H4635/97D8,,gonzaro01
14,Reese McGuire*,29,0.1,53,158,139,10,29,3,0,3,18,3,0,13,39,0.209,0.28,0.295,0.575,61,0.269,60,41,4,2,1,3,0,2/HD,,mcguire01
15,Vaughn Grissom,23,-0.2,31,114,105,10,20,3,0,0,6,2,0,7,24,0.19,0.246,0.219,0.465,31,0.234,35,23,3,1,0,1,0,4/DH,,grissva01
16,Trevor Story,31,0.7,26,106,94,8,24,7,0,2,10,6,3,11,33,0.255,0.34,0.394,0.733,104,0.325,104,37,2,1,0,0,2,6,,storytr01
17,Danny Jansen,29,0.1,30,96,80,8,15,0,0,3,6,0,0,15,19,0.188,0.323,0.3,0.623,75,0.307,90,24,3,1,0,0,0,2/HD,,janseda01
18,Bobby Dalbec,29,-0.8,37,93,83,6,11,2,0,1,8,3,0,8,43,0.133,0.217,0.193,0.41,16,0.196,4,16,1,1,1,0,0,35/H9D,,dalbebo01
19,Nick Sogard#,26,0.3,31,86,77,13,21,4,0,0,8,3,0,7,25,0.273,0.326,0.325,0.65,82,0.299,79,25,4,0,0,2,0,4/65H3,,sogarni01
20,Garrett Cooper,33,-0.9,24,75,70,3,12,4,0,0,5,0,0,3,22,0.171,0.227,0.229,0.455,28,0.207,19,16,2,2,0,0,0,3/DH,,coopega03
21,Pablo Reyes,30,-0.7,21,64,60,4,11,2,0,0,5,1,2,3,19,0.183,0.234,0.217,0.451,27,0.196,20,13,1,1,0,0,0,5/436H1,,reyespa01
22,Jamie Westbrook,29,-0.1,21,48,40,4,6,2,0,2,7,0,0,4,14,0.15,0.234,0.35,0.584,60,0.271,63,14,0,1,0,2,0,4/H59D,,westbja02
23,Mickey Gasper#,28,-0.2,13,23,18,1,0,0,0,0,0,0,0,4,8,0,0.217,0,0.217,-32,0.151,-22,0,1,1,0,0,0,/4HD3,,gaspemi01
24,Zack Short,29,-0.2,2,7,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,-100,0,-130,0,0,0,0,0,0,/45,,shortza01
25,Tyler Heineman#,33,0.1,2,3,2,0,0,0,0,0,0,0,0,0,1,0,0.333,0,0.333,5,0.239,41,0,0,1,0,0,0,/2D,,heinety01
26,Josh Winckowski,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,winckjo01
27,Chris Martin,38,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,martich02
28,Chase Shugart*,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,shugach01
29,Zach Penrod*,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,penroza01
30,Kenley Jansen#,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,janseke01
31,Isaiah Campbell,26,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,campbis01
32,Brennan Bernardino*,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,bernabr01
33,Chase Anderson,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,anderch01
