Rk,Player,Age,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Christian Vázquez,32,-0.3,102,355,327,34,73,13,0,6,32,1,0,25,82,0.223,0.28,0.318,0.598,64,0.264,59,104,11,1,1,1,1,2/3H4D,,vazquch01
2,Donovan Solano,35,1.7,134,450,394,43,111,26,1,5,38,0,0,40,100,0.282,0.369,0.391,0.76,110,0.341,114,154,8,15,0,1,1,3H45D,,solando01
3,Edouard Julien*,24,2.6,109,408,338,60,89,16,1,16,37,3,0,64,128,0.263,0.381,0.459,0.839,130,0.366,131,155,8,2,1,3,0,4DH/3,ROY-7,julieed01
4,Carlos Correa,28,1.4,135,580,514,60,118,29,2,18,65,0,0,59,131,0.23,0.312,0.399,0.711,94,0.312,94,205,30,4,0,3,3,*6,,correca01
5,Royce Lewis,24,2.4,58,239,217,36,67,7,0,15,52,6,1,20,55,0.309,0.372,0.548,0.921,149,0.393,149,119,5,2,0,0,0,5/DH6,,lewisro02
6,Joey Gallo*,29,0.5,111,332,282,39,50,9,1,21,40,1,1,48,142,0.177,0.301,0.44,0.741,100,0.32,100,124,3,2,0,0,1,37H89/D,,gallojo01
7,Michael A. Taylor,32,1.9,129,388,355,48,78,14,1,21,51,13,1,26,130,0.22,0.278,0.442,0.72,93,0.316,92,157,7,3,3,1,0,*8H/D,,taylomi02
8,Max Kepler*,30,2.9,130,491,438,72,114,22,2,24,66,1,1,45,106,0.26,0.332,0.484,0.816,120,0.353,124,212,9,4,0,4,0,*9H/D,,keplema01
9,Byron Buxton,29,0.8,85,347,304,49,63,17,1,17,42,9,0,35,109,0.207,0.294,0.438,0.731,97,0.321,96,133,3,4,0,4,2,D/H,,buxtoby01
10,Willi Castro#,26,2.7,124,409,358,60,92,18,5,9,34,33,5,34,99,0.257,0.339,0.411,0.75,105,0.341,106,147,5,12,2,3,1,785H4/691D,,castrwi01
11,Kyle Farmer,32,1.7,120,369,336,49,86,14,2,11,46,2,4,23,86,0.256,0.317,0.408,0.725,97,0.322,104,137,7,8,0,2,0,456H/37D,,farmeky01
12,Jorge Polanco#,29,2,80,343,302,38,77,18,0,14,48,4,0,36,88,0.255,0.335,0.454,0.789,114,0.341,112,137,2,2,0,3,0,45D/H,,polanjo01
13,Ryan Jeffers,26,3.3,96,335,286,46,79,15,2,14,43,3,2,33,93,0.276,0.369,0.49,0.858,133,0.368,135,140,6,10,4,2,1,2H/D,,jeffery01
14,Alex Kirilloff*,25,0.4,88,319,281,35,76,14,1,11,41,1,0,28,80,0.27,0.348,0.445,0.793,116,0.343,115,125,2,7,0,3,1,3H97/D,,kirilal01
15,Matt Wallner*,25,2.2,76,254,213,42,53,11,1,14,41,2,1,28,80,0.249,0.37,0.507,0.877,138,0.386,147,108,1,13,0,0,1,79/DH,,wallnma01
16,Trevor Larnach*,26,0.1,58,212,183,26,39,7,3,8,40,1,1,27,72,0.213,0.311,0.415,0.727,97,0.318,99,76,2,0,0,2,1,79/HD,,larnatr01
17,José Miranda,25,-0.2,40,152,142,12,30,4,0,3,13,0,0,9,24,0.211,0.263,0.303,0.566,55,0.261,58,43,8,1,0,0,0,5/D3H,,miranjo01
18,Nick Gordon*,27,-0.2,34,93,91,13,16,5,1,2,7,0,0,1,11,0.176,0.185,0.319,0.503,35,0.222,29,29,1,0,1,0,0,874H/6,,gordoni01
19,Jordan Luplow,29,0.1,32,73,63,10,13,3,0,2,4,2,0,9,19,0.206,0.315,0.349,0.664,83,0.302,82,22,1,1,0,0,0,7H/39D18,,luplojo01
20,Andrew Stevenson*,29,0.1,25,40,37,4,7,1,0,0,1,4,1,2,8,0.189,0.25,0.216,0.466,30,0.222,22,8,0,1,0,0,0,8H/7,,stevean01
21,Kyle Garlick,31,-0.1,14,30,28,2,5,1,0,2,4,0,0,2,11,0.179,0.233,0.429,0.662,76,0.276,68,12,0,0,0,0,0,/9H7D,,garliky01
22,Jovani Morán*,26,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,moranjo01
23,Emilio Pagán*,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,paganem01
24,Cole Sands,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,sandsco01
