Rk,Player,Age,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Kyle Higashioka,33,-0.3,92,260,242,24,57,13,0,10,34,0,0,14,74,0.236,0.274,0.413,0.687,85,0.295,81,100,5,0,1,3,0,2/HD,,higasky01
2,Anthony Rizzo*,33,0.5,99,421,373,45,91,14,0,12,41,0,3,35,97,0.244,0.328,0.378,0.706,94,0.309,94,141,10,12,0,1,1,3/D,,rizzoan01
3,Gleyber Torres,26,2.9,158,672,596,90,163,28,2,25,68,13,6,67,98,0.273,0.347,0.453,0.8,118,0.344,116,270,19,3,0,6,0,*4D/H,,torregl01
4,Anthony Volpe,22,3.3,159,601,541,62,113,23,4,21,60,24,5,52,167,0.209,0.283,0.383,0.666,81,0.299,80,207,10,5,1,2,0,*6/H,ROY-8GG,volpean01
5,DJ LeMahieu,34,1.3,136,562,497,55,121,22,3,15,44,2,2,60,125,0.243,0.327,0.39,0.718,96,0.315,96,194,14,3,0,2,2,53/4HD,,lemahdj01
6,Oswaldo Cabrera#,24,-1.5,115,330,298,35,63,11,0,5,29,8,0,25,72,0.211,0.275,0.299,0.574,58,0.259,50,89,6,2,3,2,1,795H/46D38,,cabreos01
7,Harrison Bader,29,0.9,84,310,288,40,69,11,2,7,37,17,2,14,56,0.24,0.278,0.365,0.643,75,0.285,67,105,6,3,1,4,0,8/H,,baderha01
8,Aaron Judge,31,4.5,106,458,367,79,98,16,0,37,75,3,1,88,130,0.267,0.406,0.613,1.019,175,0.421,172,225,5,0,0,3,9,9D8/H,ASMVP-15,judgeaa01
9,Giancarlo Stanton,33,-0.8,101,415,371,43,71,13,0,24,60,0,0,41,124,0.191,0.275,0.42,0.695,87,0.299,84,156,11,2,0,1,3,D9/H7,,stantmi03
10,Isiah Kiner-Falefa,28,0,113,361,326,39,79,12,1,6,37,14,5,28,70,0.242,0.306,0.34,0.646,78,0.29,76,111,12,3,1,3,0,875H/9146,,kineris01
11,Jake Bauers*,27,-0.9,84,272,242,28,49,15,0,12,30,3,2,27,95,0.202,0.279,0.413,0.693,87,0.301,86,100,3,0,0,3,0,973H/D,,bauerja01
12,Oswald Peraza,23,-0.7,52,191,173,15,33,8,0,2,14,4,3,13,50,0.191,0.267,0.272,0.539,49,0.244,47,47,1,5,0,0,0,54/6HD,,perazos02
13,Jose Trevino,30,0.5,55,168,157,15,33,4,0,4,15,0,0,8,22,0.21,0.257,0.312,0.57,56,0.272,64,49,6,2,1,0,0,2/H,,trevijo01
14,Willie Calhoun*,28,-0.2,44,149,134,16,32,7,0,5,16,0,0,14,20,0.239,0.309,0.403,0.712,94,0.305,88,54,2,0,0,1,1,D/9H7,,calhowi01
15,Billy McKinney*,28,0.2,48,147,128,19,29,3,1,6,14,1,0,17,39,0.227,0.32,0.406,0.726,98,0.314,93,52,1,1,0,1,1,79/8H3,,mckinbi01
16,Josh Donaldson,37,0,33,120,106,13,15,1,0,10,15,0,0,12,32,0.142,0.225,0.434,0.659,75,0.274,66,46,2,0,0,2,0,5/DH1,,donaljo02
17,Everson Pereira,22,-0.6,27,103,93,6,14,4,0,0,10,4,0,8,40,0.151,0.233,0.194,0.427,20,0.211,14,18,1,2,0,0,0,7,,pereiev01
18,Ben Rortvedt*,25,-0.2,32,79,68,6,8,1,0,2,4,0,0,11,19,0.118,0.241,0.221,0.461,28,0.218,26,15,1,0,0,0,0,2/HD,,rortvbe01
19,Aaron Hicks#,33,-0.5,28,76,69,9,13,2,0,1,5,0,0,7,20,0.188,0.263,0.261,0.524,45,0.237,40,18,0,0,0,0,0,7/8HD,,hicksaa01
20,Austin Wells*,23,0.1,19,75,70,8,16,6,0,4,13,0,0,3,14,0.229,0.257,0.486,0.742,97,0.307,89,34,3,0,0,1,0,2/H,,wellsau01
21,Estevan Florial*,25,0,19,71,61,5,14,3,1,0,8,3,0,7,20,0.23,0.324,0.311,0.635,76,0.296,74,19,0,2,0,1,0,8/H,,flories01
22,Franchy Cordero*,28,-0.1,24,71,69,9,13,2,0,6,13,0,0,2,25,0.188,0.211,0.478,0.69,81,0.296,82,33,0,0,0,0,0,9/7H,,cordefr02
23,Jasson Domínguez#,20,0.2,8,33,31,6,8,1,0,4,7,1,0,2,8,0.258,0.303,0.677,0.98,158,0.409,157,21,1,0,0,0,0,/8,,dominja01
24,Greg Allen#,30,0,22,28,23,6,5,1,1,1,1,3,1,2,10,0.217,0.333,0.478,0.812,119,0.389,145,11,0,2,1,0,0,7H/98D,,allengr01
