,Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,Est. Payroll,Year,yearID,lgID,franchID,divID,Rank,G,Ghome,W,L,Covered,RoofType
0,ARI,2091685,25823,29.7,28.8,105,105,59984226,2006,2006,NL,ARI,W,4,162,81,76,86,True,Retractable
1,ATL,2550524,31488,27.5,29.4,100,99,90156876,2006,2006,NL,ATL,E,3,162,81,79,83,False,Open
2,BAL,2153139,26582,30.4,27.9,99,99,72585582,2006,2006,AL,BAL,E,4,162,81,70,92,False,Open
3,BOS,2930588,36180,30.5,31.1,105,104,120099824,2006,2006,AL,BOS,E,3,162,81,86,76,False,Open
4,CHC,3123215,38558,28.6,28.0,103,103,94424499,2006,2006,NL,CHC,C,6,162,81,66,96,False,Open
5,CHW,2957414,36511,29.8,27.9,104,104,102750667,2006,2006,AL,CHW,C,3,162,81,90,72,False,Open
6,CIN,2134607,26353,29.6,29.5,104,104,60909519,2006,2006,NL,CIN,C,3,162,82,80,82,False,Open
7,CLE,1997995,24667,27.7,28.6,99,98,56031500,2006,2006,AL,CLE,C,4,162,81,78,84,False,Open
8,COL,2104362,25980,27.8,28.8,109,109,41233000,2006,2006,NL,COL,W,4,162,81,76,86,False,Open
9,DET,2595937,32049,29.3,28.8,100,99,82612866,2006,2006,AL,DET,C,2,162,81,95,67,False,Open
10,FLA,1164134,14372,25.5,25.9,95,96,14671500,2006,2006,NL,FLA,E,4,162,81,78,84,True,Retractable
11,HOU,3022763,37318,30.5,29.8,100,99,100894435,2006,2006,NL,HOU,C,2,162,81,82,80,True,Retractable
12,KCR,1372638,16946,29.7,27.7,101,103,47694000,2006,2006,AL,KCR,C,5,162,81,62,100,False,Open
13,ANA,3406790,42059,28.8,27.9,100,99,103472000,2006,2006,AL,ANA,W,2,162,81,89,73,False,Open
14,LAD,3758545,46402,29.9,30.4,101,100,98447187,2006,2006,NL,LAD,W,2,162,81,88,74,False,Open
15,MIL,2335643,28835,28.8,28.3,101,101,57970333,2006,2006,NL,MIL,C,4,162,81,75,87,True,Retractable
16,MIN,2285018,28210,28.3,26.9,98,98,63396006,2006,2006,AL,MIN,C,1,162,81,96,66,False,Open
17,NYM,3379535,41723,30.2,32.2,98,97,101584963,2006,2006,NL,NYM,E,1,162,81,97,65,False,Open
18,NYY,4248067,52445,30.9,32.5,101,99,194663079,2006,2006,AL,NYY,E,1,162,81,97,65,False,Open
19,OAK,1976625,24403,29.7,27.0,97,97,64843079,2006,2006,AL,OAK,W,1,162,81,93,69,False,Open
20,PHI,2701815,33356,29.3,30.5,105,104,88273333,2006,2006,NL,PHI,E,2,162,81,85,77,False,Open
21,PIT,1861549,22982,27.8,27.0,98,99,46717750,2006,2006,NL,PIT,C,5,162,81,67,95,False,Open
22,SDP,2659757,32837,30.7,30.6,91,90,69896141,2006,2006,NL,SDP,W,1,162,81,88,74,False,Open
